,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9
M_DR_L002M1NAAA,62.939427,37.060573,0.808100,46.982558,1.290000,46.565346,0.628290,36.528477,0.387120,22.506977,0.665000,90.270263,0.420000,0.203333,-50.426812,48.577973,35.941583,-29.979234,-52.914337,20.556150,15.670808,13.911333,4.891333,9.020000,65.314417,65.493083,3.427333,-0.712000,4.139333,43.864871,50.101670,6.104333,-6.724000,12.828333,37.747067,81.764006,27.918333,29.272333,2.820333,5.503667,32.282333,5.443000,29.462000,5.319579,56.005197,92.179787,63.723740,-2.564667,3.740667,-3.058667,2.913333,2.956667,-2.538000,7.075667,52.599067,4.951658,63.723740,92.814745,-2.036000,-14.436667,12.400667,69.604868,12.699688,18.315667,25.781667,12.124000,24.550667,28.845667,18.847000,16.721667,44.116860,36.654592,75.029092,100.000000,-1.509667,-7.521000,6.011333,67.332248,19.925628,-29.925667,-45.772667,15.847000,24.075474,54.462731,8.913667,15.461333,3.239333,4.687333,9.982000,3.802667,12.835333,48.494895,43.696704,83.989903,78.162672,13.941667,4.429000,9.512667,63.959892,9.353930
M_DR_L002M2NAAA,57.795502,42.204498,1.170233,68.036822,1.158333,51.884896,1.011775,58.824138,0.545543,31.717636,0.578333,103.933130,0.443333,0.166667,-80.752790,87.281707,104.920805,-41.142917,-79.064595,9.458853,37.565107,16.320333,6.492000,9.828333,51.723752,80.010372,3.605667,-3.042667,6.648333,36.441226,8.800351,3.858333,-6.792667,10.651000,48.513463,67.591418,33.288667,34.551333,-4.308667,-0.959000,40.204667,-1.197333,44.513333,4.555078,51.619632,95.663640,60.585517,-3.554333,5.323000,-4.894333,3.798333,4.334000,-2.834000,10.309667,47.247676,4.804285,65.345070,93.741497,15.168333,1.602667,13.565667,53.927749,12.218556,13.859667,25.089667,6.982667,25.876333,29.834000,15.538000,22.851333,57.363128,38.598409,70.035353,100.000000,6.809333,0.394000,6.415333,79.291010,35.036187,-7.165000,-22.118667,14.953667,14.923588,51.548338,9.242333,14.664667,0.738000,2.312333,13.835333,1.972000,14.460000,38.444989,39.289854,86.348504,58.529717,-10.233667,-23.182333,12.948667,68.541686,27.807999
M_DR_L022M1NAAA,66.656806,33.343194,0.793240,45.328000,1.258333,47.719076,0.629609,35.977656,0.365830,20.904571,0.586667,102.303976,0.435000,0.243333,-43.776753,71.587973,158.953706,-140.121832,-34.879469,21.313961,31.639737,25.479667,19.845667,5.634000,12.911166,53.605487,1.592667,-1.833000,3.425667,66.332156,47.554377,1.527667,-6.726667,8.254333,16.654595,81.193479,44.707333,44.719000,13.136333,20.009000,47.917000,20.009000,34.780667,0.653595,58.830363,91.259467,66.656806,-2.368333,2.026333,-3.718333,-3.711000,-0.359000,-6.237000,8.263333,44.546723,24.640824,92.281112,72.041118,2.260000,-5.615667,7.875667,82.467581,6.059337,6.229000,25.623667,1.223333,27.046667,49.084667,3.651667,48.097667,66.259147,38.679558,75.405303,98.526981,8.804000,2.460000,6.344000,84.271995,5.065416,13.332667,-2.592667,15.925333,79.214543,34.759898,-3.052000,6.334000,-10.365333,-1.360667,7.219333,-5.329000,18.210333,52.488308,6.187594,88.092239,88.358991,-10.264667,-25.095000,14.830333,35.409059,38.451961
M_DR_L031M1NAAA,66.041667,33.958333,0.871083,54.785115,1.380000,43.518519,0.631863,39.739809,0.458607,28.843187,0.680000,88.272921,0.460000,0.223333,-45.005464,58.093215,133.003003,-132.911973,-125.388381,36.185912,47.903338,19.515667,13.443667,6.072000,24.112654,89.899691,0.346333,-6.373333,6.719667,7.746914,66.095679,3.768333,-4.587333,8.355667,27.037037,63.919753,37.999000,38.286333,7.829333,18.358000,38.374333,18.358000,31.648667,1.851852,54.544753,90.779321,66.041667,-4.773667,-1.280000,-7.609000,-6.554667,-3.785333,-9.921333,8.641333,18.788580,60.895062,93.333333,70.748457,2.873333,-10.581000,13.454333,92.037037,32.052469,12.411000,46.401000,11.767333,47.648000,61.006667,6.838667,54.168000,65.679012,0.810185,73.410494,96.257716,3.423667,-3.576667,7.000333,83.587963,67.129630,9.278000,-5.442000,14.720000,54.166667,95.146605,3.267000,21.706667,-6.587667,-5.878667,8.941000,-6.988000,29.299667,50.262346,25.185185,86.820988,67.492284,4.621333,-14.961667,19.583000,88.047840,61.388889
M_DR_L031M3NAAA,68.096133,31.903867,1.048997,66.392194,1.138333,52.752116,0.921271,58.308268,0.559047,35.382700,0.593333,101.182939,0.370000,0.183333,-75.459986,57.155524,121.728584,-171.502166,-71.571088,33.411732,73.170372,23.215000,17.217333,5.997667,70.123006,0.146843,1.101333,-7.426333,8.527667,21.650874,70.436309,3.655333,-7.678000,11.333333,32.510855,88.857533,45.015667,45.048667,8.636000,25.586333,47.396333,25.586333,38.760333,2.996918,55.331833,90.513927,68.096133,-0.048667,3.507000,-6.387333,-6.347000,3.670333,-6.701000,10.732667,16.563594,65.838351,95.014730,70.455926,-3.786000,-21.241333,17.455333,80.697289,20.943731,11.278667,53.479000,8.031000,54.821333,63.589333,9.146000,55.638333,67.656532,30.096568,74.195441,98.393111,-0.563333,-12.498000,11.934667,43.342836,66.600599,-5.528333,-21.251333,15.723000,10.257665,46.993364,3.395000,15.210667,-11.222667,-8.641333,7.696333,-8.641333,26.433333,48.420772,65.302340,88.115829,68.096133,20.544333,1.909667,18.634667,84.766409,43.267220
M_DR_L034M1NAAA,57.568766,42.431234,1.599710,89.886994,1.080000,55.606530,1.480359,83.181348,0.783673,44.034059,0.553333,108.435708,0.413333,0.086667,-113.483675,134.912275,246.988347,-199.726122,-255.796477,-11.572736,-7.176240,18.363000,7.250000,11.113000,24.976018,91.859459,3.092667,-3.912333,7.005000,32.247942,62.316635,7.000333,-8.594333,15.594667,64.400016,35.285345,43.338333,44.025000,-8.769333,-0.451333,46.935333,-0.451333,55.704667,3.321815,51.059577,82.078028,57.568766,-5.796667,4.802000,-7.540000,-7.099667,-6.580333,-10.468333,15.270333,29.865243,38.036309,85.402794,64.319143,13.768667,-5.215000,18.983667,83.178771,39.276233,9.011000,29.673333,3.876333,31.641667,68.862000,3.650000,65.682333,42.189092,42.270203,71.439814,97.863796,18.261667,1.046333,17.215333,82.243172,50.029839,14.080000,-2.928000,17.008000,66.736123,33.333333,-18.619000,12.101333,-29.160000,-30.595333,-21.881000,-42.162333,54.263667,31.818775,57.105378,87.791514,62.163235,11.289333,-21.816000,33.105333,97.491446,25.638414
M_DR_L035M1NAAA,54.942311,45.057689,0.940330,63.535811,1.005000,60.218113,0.952736,64.374054,0.485073,32.775225,0.518333,116.819895,0.396667,0.078333,-81.409031,94.250434,63.238601,-140.958217,-61.940941,-30.907077,9.457349,28.358000,14.777667,13.580333,67.562036,99.673621,14.293333,0.401333,13.892000,36.145883,62.648174,13.184000,1.965667,11.218333,27.069701,46.541805,49.062667,50.944333,15.095000,18.989000,54.142333,18.989000,39.162000,4.208946,48.335704,90.679627,54.942311,5.447667,19.038000,4.389333,15.235000,15.509667,-2.035333,21.116000,42.861546,4.262684,56.842896,88.121543,4.624333,-16.365000,20.989333,15.186502,62.976924,37.445333,48.135000,21.558000,48.326667,63.434333,37.175333,41.876333,54.260313,29.315631,81.836573,99.824561,-4.576000,-14.662000,10.086000,52.999052,5.573732,9.334333,-9.470667,18.805000,25.612455,60.062431,-5.843333,6.497000,-12.088000,-12.360333,-7.177667,-21.388000,27.885000,12.009641,54.148095,94.590643,62.348664,-4.071667,-21.536000,17.464333,69.312470,59.553501
M_DR_L036M1NAAA,59.827066,40.172934,1.500170,87.729240,1.033333,58.066636,1.451620,84.890041,0.687207,40.187524,0.496667,120.888391,0.411667,0.091667,-117.229025,137.395983,244.127685,-138.121605,-89.776252,-21.954068,55.911241,22.432000,16.483333,5.948667,11.291198,80.007002,-1.135000,-6.887333,5.752333,9.040686,62.416146,0.366333,-6.162667,6.529000,66.364916,63.448154,46.555000,48.027000,-7.097667,4.033000,43.532333,4.033000,55.124667,4.682569,51.769822,92.898830,59.827066,-1.959333,1.647333,-9.332333,-9.707667,-4.071333,-12.958000,14.605333,11.137271,59.343177,99.024390,66.127796,9.846667,-4.086667,13.933333,41.293910,33.033538,14.225333,36.730667,2.352667,38.541333,54.355667,5.085000,52.003000,59.343177,38.852608,68.547239,95.482423,8.852000,-1.669667,10.521667,70.152103,36.114929,-0.863667,-14.212667,13.349000,28.849088,30.112721,4.428000,12.470667,-9.717333,-9.578667,7.136333,-10.877000,23.733333,33.268634,59.182921,96.453297,60.802676,-0.647667,-15.215000,14.567333,100.000000,42.565957
M_DR_L038M1NAAA,66.769785,33.230215,1.211047,68.822207,1.088333,55.138247,1.113281,63.266255,0.624743,35.503626,0.510000,117.700530,0.381667,0.173333,-57.062776,104.280187,239.003676,-156.997277,-93.172487,26.546673,8.961429,19.150333,14.818333,4.332000,10.480836,57.577309,-0.398000,-6.485333,6.087333,46.568036,71.399735,2.597000,-6.825667,9.422667,49.478655,69.890649,42.052333,42.191000,3.523000,21.857333,41.623333,21.857333,38.668000,3.643282,52.991643,94.351555,66.769785,-5.194333,0.850667,-8.153333,-7.962667,-3.520667,-8.888667,9.979000,46.260758,63.273770,93.623910,69.729286,12.789333,-4.779333,17.568667,15.227121,69.050122,8.578333,56.717000,3.678333,57.688667,60.570667,3.963667,57.236000,66.310299,41.966070,70.141254,96.787158,8.322000,-0.924667,9.246667,84.547388,67.681643,12.999667,-5.606667,18.606333,8.114974,60.505878,-5.658667,18.242667,-10.272333,0.828333,6.766000,-5.612000,28.515000,51.460883,2.305923,84.225981,94.989622,3.034667,-22.117667,25.152333,65.143213,73.051854
M_DR_L040M1NAAA,62.898268,37.101732,1.046020,81.742386,0.956667,62.722743,1.093805,85.476874,0.515453,40.280697,0.471667,127.366034,0.383333,0.115000,-101.088185,118.407661,256.960450,-231.234938,-100.637574,-8.804405,58.008890,21.424667,12.722667,8.702000,61.274285,68.839626,6.967333,-3.960667,10.928000,16.232560,56.659290,17.491667,-11.558000,29.049667,67.019400,53.862608,40.230667,43.157333,1.365667,8.710333,44.969333,8.710333,45.728667,4.723325,55.924067,93.360200,62.898268,-8.194000,4.558333,-11.836667,-6.421667,-2.162333,-10.788000,17.391667,34.576568,21.243523,77.666806,93.125348,11.734333,-10.728333,22.462667,61.945370,7.817569,4.829000,43.574333,4.409667,44.924000,67.522000,6.773000,63.207333,48.833911,27.066371,74.040034,98.779211,14.149667,-0.287667,14.437333,82.751246,57.296464,3.792333,-26.520667,30.313000,73.866423,28.674676,-5.199000,9.808000,-13.511667,-12.206667,6.039333,-13.284000,24.588333,24.047373,61.328343,96.345728,64.113545,-4.990667,-35.910333,30.919667,77.349340,20.586060
