,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9
M_DR_L002M1NAAA,62.939427,37.060573,0.8081,46.982558000000004,1.29,46.565346000000005,0.62829,36.528477,0.38711999999999996,22.506977,0.665,90.270263,0.42,0.20333299999999999,-50.426812,48.577973,35.941583,-29.979234,-52.914336999999996,20.55615,15.670808,13.911332999999999,4.891333,9.02,65.314417,65.493083,3.427333,-0.712,4.139333000000001,43.864871,50.10167,6.1043330000000005,-6.724,12.828333,37.747067,81.76400600000001,27.918333,29.272333000000003,2.820333,5.503667,32.282333,5.443,29.462,5.319579,56.005196999999995,92.179787,63.72374,-2.564667,3.7406669999999997,-3.058667,2.913333,2.956667,-2.538,7.075667,52.599067000000005,4.951658,63.72374,92.814745,-2.036,-14.436667000000002,12.400667,69.60486800000001,12.699688,18.315667,25.781667000000002,12.124,24.550667,28.845667,18.847,16.721667,44.116859999999996,36.654592,75.029092,100.0,-1.509667,-7.521,6.0113330000000005,67.33224799999999,19.925628,-29.925666999999997,-45.772667,15.847,24.075474,54.462731000000005,8.913667,15.461332999999998,3.2393330000000002,4.687333,9.982,3.802667,12.835333,48.494895,43.696704,83.989903,78.162672,13.941667,4.429,9.512667,63.959892,9.35393
M_IZ_L002M2NAAA,62.615632,37.384368,1.116753,64.92751899999999,1.185,50.658932,0.9425540000000001,54.799654000000004,0.5850270000000001,34.013178,0.61,98.373984,0.488333,0.09,-89.992005,87.076785,163.87016,-98.30213499999999,-112.325769,21.863426,60.706635999999996,16.310667000000002,7.4726669999999995,8.838,28.252204,57.899666,2.486,-3.8136669999999997,6.2996669999999995,45.597153999999996,90.769699,7.017,-2.361333,9.378333,22.665109,60.157481999999995,37.996666999999995,40.337666999999996,-6.672333,1.141333,35.394667,1.141333,47.01,5.325627,52.904906000000004,91.857129,62.615632,-9.335,0.296333,-9.662666999999999,-3.245,-3.245,-8.617666999999999,10.013667,53.984803,2.366543,62.615632,84.05559000000001,-2.7136669999999996,-15.864667,13.151,33.045994,26.148181,15.458,31.987667,3.1703330000000003,31.44,46.383333,9.533667,43.213,45.386752,41.662209000000004,69.645397,97.625498,5.065,-1.9053330000000002,6.970333,69.76834699999999,51.304798999999996,18.994332999999997,2.744333,16.25,9.699886,85.564542,5.037333,13.101,-7.118666999999999,-6.906,10.169333,-8.539333000000001,21.800667,43.938594,42.996056,87.371152,63.596024,-4.325,-20.855,16.53,65.081184,35.275158000000005
M_DR_L002M2NAAA,57.795502,42.204498,1.170233,68.036822,1.158333,51.884896000000005,1.011775,58.824138,0.545543,31.717636,0.578333,103.93313,0.443333,0.166667,-80.75279,87.281707,104.920805,-41.142917,-79.064595,9.458853,37.565107,16.320332999999998,6.492,9.828333,51.723752000000005,80.010372,3.605667,-3.042667,6.648333,36.441226,8.800351,3.858333,-6.792667,10.651,48.513463,67.591418,33.288667,34.551333,-4.308667,-0.959,40.204667,-1.197333,44.513333,4.555078,51.619632,95.66364,60.585517,-3.554333,5.323,-4.8943330000000005,3.798333,4.334,-2.834,10.309667,47.247676,4.804285,65.34506999999999,93.741497,15.168332999999999,1.602667,13.565667000000001,53.927749,12.218556,13.859667000000002,25.089667000000002,6.982667,25.876333,29.834,15.538,22.851333,57.363128,38.598409000000004,70.035353,100.0,6.8093330000000005,0.394,6.415333,79.29101,35.036187,-7.165,-22.118667000000002,14.953667000000001,14.923588,51.548338,9.242333,14.664667000000001,0.738,2.312333,13.835332999999999,1.972,14.46,38.444989,39.289854,86.348504,58.529717000000005,-10.233667,-23.182333,12.948667,68.541686,27.807999
M_IZ_L022M1NAAA,66.18320600000001,33.816794,0.8247770000000001,47.130095000000004,1.29,46.534351,0.640877,36.621527,0.40631999999999996,23.218286,0.678333,88.650584,0.42,0.166667,-31.681045,51.505085,139.169216,-157.924035,-56.064144999999996,20.84842,55.993016000000004,25.191333,19.507667,5.683667,52.933333,36.770483,2.492,-1.6716669999999998,4.163667,19.032061,47.964377,7.275,-1.006333,8.281333,25.218321,73.237659,39.687,39.756,12.827,18.329,43.762,18.287,30.935,0.381679,54.222901,90.414249,66.316539,-5.679667,-0.335667,-7.163,-7.179333,-5.588,-9.337,9.001333,31.481934000000003,44.803053000000006,84.077354,79.162341,1.574,-7.547,9.121,9.580662,75.799491,3.0493330000000003,25.014667000000003,-0.899667,26.523,52.913332999999994,1.853,53.813,65.79542,25.388295,75.90229000000001,97.624427,11.033,0.344,10.689,83.549109,34.533333,9.235,-4.421667,13.656667,70.61883,63.751654,-0.278667,5.841667,-10.294333,-8.373333,6.634333,-8.772333,17.6,46.666667,44.675827000000005,86.784733,67.110433,-8.433333,-20.822,12.388667,77.670229,35.250890999999996
M_DR_L022M1NAAA,66.656806,33.343194,0.79324,45.328,1.258333,47.719076,0.629609,35.977656,0.36583000000000004,20.904571,0.586667,102.303976,0.435,0.243333,-43.776753,71.587973,158.953706,-140.121832,-34.879469,21.313961,31.639737,25.479667000000003,19.845667000000002,5.634,12.911166,53.605487,1.592667,-1.833,3.425667,66.33215600000001,47.554377,1.527667,-6.726667,8.254333,16.654595,81.19347900000001,44.707333,44.719,13.136332999999999,20.009,47.917,20.009,34.780667,0.653595,58.830363,91.259467,66.656806,-2.3683330000000002,2.026333,-3.7183330000000003,-3.711,-0.359,-6.237,8.263333,44.546723,24.640824,92.281112,72.04111800000001,2.26,-5.615667,7.875667,82.46758100000001,6.059337,6.229,25.623667,1.223333,27.046667,49.084666999999996,3.6516669999999998,48.097667,66.259147,38.679558,75.405303,98.526981,8.804,2.46,6.344,84.27199499999999,5.065416,13.332667,-2.5926669999999996,15.925332999999998,79.214543,34.759898,-3.052,6.334,-10.365333,-1.360667,7.219333,-5.329,18.210333,52.488307999999996,6.187594,88.092239,88.358991,-10.264667,-25.095,14.830333,35.409059,38.451961
M_IZ_L031M1NAAA,66.190476,33.809523999999996,0.8621969999999999,54.22620500000001,1.358333,44.224197,0.636857,40.053913,0.43035,27.066038,0.683333,88.099288,0.468333,0.211667,-44.098492,58.931467000000005,150.406778,-142.66784099999998,-141.918544,28.106811999999998,74.930006,19.220333,13.939,5.281333,37.129376,60.887066000000004,6.258333,-0.37533299999999997,6.633667,16.472811,62.024758999999996,5.643667,-4.527,10.170667,20.647261999999998,76.855016,35.659,36.084,7.848,19.348667000000003,38.824,19.348667000000003,30.976,2.631579,53.201754,85.82327,66.190476,0.157,4.242,-3.55,-3.59,0.910333,-4.042,8.284,16.699324,65.82194100000001,82.343928,70.46157099999999,-2.014333,-16.712332999999997,14.698,81.409964,44.317422,13.262667,53.062,13.096667,54.187332999999995,65.627333,6.377333,59.25,65.82194100000001,0.75188,72.58183299999999,94.677223,6.808,-3.130667,9.938667,57.299878,68.54655600000001,24.487333,12.677667,11.809667,18.480860999999997,83.870662,10.010667,23.798,-8.695667,-9.005333,11.977333,-9.586667,33.384667,48.485988,65.82194100000001,82.838346,67.295132,-7.308,-27.354667,20.046667000000003,86.688691,47.151971
M_DR_L031M1NAAA,66.041667,33.958333,0.8710829999999999,54.785115000000005,1.38,43.518519,0.6318630000000001,39.739809,0.458607,28.843187,0.68,88.272921,0.46,0.223333,-45.005464,58.093215,133.003003,-132.911973,-125.38838100000001,36.185912,47.903338,19.515667,13.443667000000001,6.072,24.112654,89.899691,0.346333,-6.373333000000001,6.719666999999999,7.746914,66.095679,3.768333,-4.587333,8.355667,27.037036999999998,63.919753,37.999,38.286333,7.829333,18.358,38.374333,18.358,31.648667,1.851852,54.544753,90.779321,66.041667,-4.773667,-1.28,-7.609,-6.554667,-3.785333,-9.921333,8.641333,18.78858,60.895062,93.333333,70.748457,2.873333,-10.581,13.454332999999998,92.037037,32.052469,12.411,46.401,11.767333,47.648,61.00666700000001,6.838667,54.168,65.679012,0.810185,73.410494,96.257716,3.423667,-3.576667,7.000333,83.587963,67.12963,9.278,-5.442,14.72,54.166667000000004,95.14660500000001,3.267,21.706667000000003,-6.587667,-5.878667,8.941,-6.988,29.299667,50.262346,25.185185,86.820988,67.492284,4.621333,-14.961667000000002,19.583,88.04784000000001,61.388889
M_IZ_L031M3NAAA,67.723138,32.276862,1.097733,69.476793,1.146667,52.336464,0.9572350000000001,60.584523,0.538687,34.094093,0.553333,108.435708,0.363333,0.23,-84.154538,68.222663,149.11111200000002,-217.07854500000002,-83.763974,1.5908229999999999,29.342871999999996,23.238332999999997,17.92,5.318333,38.898136,67.938988,7.4263330000000005,-2.863667,10.29,22.387925,77.28814799999999,7.678,-6.429333,14.107332999999999,40.686695,87.493728,39.857,41.071,1.954667,15.697332999999999,43.412,15.697332999999999,41.472333,3.7821730000000002,55.22093,88.347522,67.723138,1.385,4.275333,-7.052,-7.217,1.371,-7.972,12.247333,22.251304,67.287001,94.919409,70.053327,16.23,-9.714667,25.944667000000003,91.547428,67.729579,0.4,47.116333000000004,0.245333,48.924,63.971667000000004,-1.103667,65.075333,67.287001,14.057970999999998,74.99525200000001,98.253585,12.893333,4.8236669999999995,8.069666999999999,65.031024,68.60694000000001,-7.957333,-37.752333,29.795,73.099846,33.333333,2.219,10.049333,-17.025333,-15.457667,9.066667,-15.457667,27.641,37.914287,65.69246600000001,94.340542,67.723138,13.547667,-27.885,41.432666999999995,85.17269,30.383529
M_DR_L031M3NAAA,68.096133,31.903866999999998,1.048997,66.39219399999999,1.138333,52.752116,0.921271,58.308268000000005,0.5590470000000001,35.3827,0.593333,101.182939,0.37,0.183333,-75.459986,57.155524,121.72858400000001,-171.502166,-71.571088,33.411732,73.170372,23.215,17.217333,5.997667,70.123006,0.146843,1.101333,-7.4263330000000005,8.527667,21.650873999999998,70.436309,3.655333,-7.678,11.333333,32.510855,88.85753299999999,45.015667,45.048667,8.636,25.586333,47.396333,25.586333,38.760333,2.996918,55.331832999999996,90.513927,68.096133,-0.048667,3.507,-6.387333,-6.347,3.6703330000000003,-6.701,10.732667,16.563594000000002,65.838351,95.01473,70.455926,-3.786,-21.241332999999997,17.455333,80.697289,20.943731,11.278667,53.479,8.031,54.821332999999996,63.589332999999996,9.146,55.638332999999996,67.656532,30.096567999999998,74.195441,98.393111,-0.563333,-12.498,11.934667,43.342836,66.600599,-5.528333,-21.251333,15.723,10.257665,46.993364,3.395,15.210667,-11.222667,-8.641333,7.696333,-8.641333,26.433333,48.420772,65.30234,88.115829,68.096133,20.544332999999998,1.9096669999999998,18.634667,84.766409,43.26722
M_IZ_L034M1NAAA,60.963455,39.036545000000004,1.620937,91.080352,1.058333,56.699889,1.531596,86.060425,0.810393,45.535894,0.5,120.10269199999999,0.458333,0.095,-118.689957,155.071975,255.80696400000002,-202.305072,-207.86186899999998,17.449215,77.321923,15.88,8.528667,7.351333,41.904762,43.473606,3.421667,-4.649,8.070667,25.370986,69.937246,7.040667,-7.283,14.323667000000002,7.925434,49.298634,46.827333,47.488333000000004,-9.921667,-3.8153330000000003,44.992667,-3.8153330000000003,57.41,3.137689,53.717239,87.419712,60.963455,-4.971,6.4036669999999996,-5.017333,-3.6663330000000003,-2.972,-10.776667,17.180332999999997,40.959764,20.952381,85.562938,70.730897,-0.025333,-17.375332999999998,17.35,92.934662,16.186785,12.783,35.272333,3.481667,37.180333000000005,68.333,4.995,64.851333,60.490956000000004,38.903653999999996,72.60981899999999,96.552233,2.2623330000000004,-5.047667,7.31,84.222961,69.937246,16.537,0.409667,16.127333,16.651901000000002,64.603175,3.902333,10.565667,-14.165,-15.472332999999999,7.029333,-20.963,31.528667,44.425987,60.490956000000004,93.51052,64.58471800000001,-1.244333,-20.461,19.216667,48.04725,76.548542
